"date","provinces","n_tests","n_cases","n_deaths","n_recoveries"
"2020-03-12","FS",848,0,0,0
"2020-03-12","EC",848,0,0,0
"2020-03-12","GP",848,6,0,0
"2020-03-12","KZN",848,8,0,0
"2020-03-12","LP",848,0,0,0
"2020-03-12","MP",848,1,0,0
"2020-03-12","NW",848,0,0,0
"2020-03-12","NC",848,0,0,0
"2020-03-12","WC",848,1,0,0
"2020-03-13","FS",924,0,0,0
"2020-03-13","EC",924,0,0,0
"2020-03-13","GP",924,10,0,0
"2020-03-13","KZN",924,10,0,0
"2020-03-13","LP",924,0,0,0
"2020-03-13","MP",924,1,0,0
"2020-03-13","NW",924,0,0,0
"2020-03-13","NC",924,0,0,0
"2020-03-13","WC",924,3,0,0
"2020-03-14","FS",1017,0,0,0
"2020-03-14","EC",1017,0,0,0
"2020-03-14","GP",1017,17,0,0
"2020-03-14","KZN",1017,11,0,0
"2020-03-14","LP",1017,0,0,0
"2020-03-14","MP",1017,1,0,0
"2020-03-14","NW",1017,0,0,0
"2020-03-14","NC",1017,0,0,0
"2020-03-14","WC",1017,9,0,0
"2020-03-15","FS",1476,0,0,0
"2020-03-15","EC",1476,0,0,0
"2020-03-15","GP",1476,24,0,0
"2020-03-15","KZN",1476,12,0,0
"2020-03-15","LP",1476,0,0,0
"2020-03-15","MP",1476,1,0,0
"2020-03-15","NW",1476,0,0,0
"2020-03-15","NC",1476,0,0,0
"2020-03-15","WC",1476,14,0,0
"2020-03-16","FS",2405,0,0,0
"2020-03-16","EC",2405,0,0,0
"2020-03-16","GP",2405,31,0,0
"2020-03-16","KZN",2405,12,0,0
"2020-03-16","LP",2405,1,0,0
"2020-03-16","MP",2405,2,0,0
"2020-03-16","NW",2405,0,0,0
"2020-03-16","NC",2405,0,0,0
"2020-03-16","WC",2405,16,0,0
"2020-03-17","FS",2826,0,0,0
"2020-03-17","EC",2826,0,0,0
"2020-03-17","GP",2826,45,0,0
"2020-03-17","KZN",2826,16,0,0
"2020-03-17","LP",2826,1,0,0
"2020-03-17","MP",2826,2,0,0
"2020-03-17","NW",2826,0,0,0
"2020-03-17","NC",2826,0,0,0
"2020-03-17","WC",2826,21,0,0
"2020-03-18","FS",3070,0,0,0
"2020-03-18","EC",3070,0,0,0
"2020-03-18","GP",3070,61,0,0
"2020-03-18","KZN",3070,19,0,0
"2020-03-18","LP",3070,1,0,0
"2020-03-18","MP",3070,4,0,0
"2020-03-18","NW",3070,0,0,0
"2020-03-18","NC",3070,0,0,0
"2020-03-18","WC",3070,31,0,0
"2020-03-19","FS",4832,0,0,0
"2020-03-19","EC",4832,0,0,0
"2020-03-19","GP",4832,76,0,0
"2020-03-19","KZN",4832,22,0,0
"2020-03-19","LP",4832,1,0,0
"2020-03-19","MP",4832,5,0,0
"2020-03-19","NW",4832,0,0,0
"2020-03-19","NC",4832,0,0,0
"2020-03-19","WC",4832,46,0,0
"2020-03-20","FS",6438,7,0,0
"2020-03-20","EC",6438,0,0,0
"2020-03-20","GP",6438,109,0,0
"2020-03-20","KZN",6438,23,0,0
"2020-03-20","LP",6438,1,0,0
"2020-03-20","MP",6438,5,0,0
"2020-03-20","NW",6438,0,0,0
"2020-03-20","NC",6438,0,0,0
"2020-03-20","WC",6438,57,0,0
"2020-03-21","FS",7425,7,0,0
"2020-03-21","EC",7425,1,0,0
"2020-03-21","GP",7425,125,0,0
"2020-03-21","KZN",7425,27,0,0
"2020-03-21","LP",7425,1,0,0
"2020-03-21","MP",7425,5,0,0
"2020-03-21","NW",7425,0,0,0
"2020-03-21","NC",7425,0,0,0
"2020-03-21","WC",7425,74,0,0
"2020-03-22","FS",9315,9,0,0
"2020-03-22","EC",9315,2,0,0
"2020-03-22","GP",9315,132,0,0
"2020-03-22","KZN",9315,36,0,0
"2020-03-22","LP",9315,1,0,0
"2020-03-22","MP",9315,6,0,0
"2020-03-22","NW",9315,0,0,0
"2020-03-22","NC",9315,0,0,0
"2020-03-22","WC",9315,88,0,0
