"","date","provinces","n_tests","n_cases","n_deaths"
"1","2020-03-12","FS",848,0,0
"2","2020-03-12","EC",848,0,0
"3","2020-03-12","GP",848,6,0
"4","2020-03-12","KZN",848,8,0
"5","2020-03-12","LP",848,0,0
"6","2020-03-12","MP",848,1,0
"7","2020-03-12","NW",848,0,0
"8","2020-03-12","NC",848,0,0
"9","2020-03-12","WC",848,1,0
"10","2020-03-13","FS",924,0,0
"11","2020-03-13","EC",924,0,0
"12","2020-03-13","GP",924,10,0
"13","2020-03-13","KZN",924,10,0
"14","2020-03-13","LP",924,0,0
"15","2020-03-13","MP",924,1,0
"16","2020-03-13","NW",924,0,0
"17","2020-03-13","NC",924,0,0
"18","2020-03-13","WC",924,3,0
"19","2020-03-14","FS",1017,0,0
"20","2020-03-14","EC",1017,0,0
"21","2020-03-14","GP",1017,17,0
"22","2020-03-14","KZN",1017,11,0
"23","2020-03-14","LP",1017,0,0
"24","2020-03-14","MP",1017,1,0
"25","2020-03-14","NW",1017,0,0
"26","2020-03-14","NC",1017,0,0
"27","2020-03-14","WC",1017,9,0
